pmid,annotation
28262617,microRNA-23b suppresses [[epithelial-mesenchymal transition]] (EMT) and [[metastasis]] in hepatocellular carcinoma via targeting Pyk2.
33090406,LINC00106 prevents against metastasis of thyroid cancer by inhibiting [[epithelial-mesenchymal transition]].
32777343,Periostin and matrix stiffness combine to regulate [[myofibroblast differentiation]] and fibronectin synthesis during palatal healing.
34798144,Capsaicin attenuates TGFbeta2-induced [[epithelial-mesenchymal-transition]] in [[lens epithelial cells]] in vivo and in vitro.
37827248,Lacticaseibacillus rhamnosus GG enhances [[fin regeneration]] under [[oxytetracycline]] exposure via activating [[Wnt signaling]] and modulating gut microbiota.
25816372,Thrombomodulin promotes [[corneal epithelial wound healing]].
30376406,Keratinocyte Growth Factor Modified Messenger RNA Accelerating [[Cell Proliferation]] and [[Migration]] of Keratinocytes.
28170176,Exosomes Derived from Akt-Modified Human Umbilical Cord [[Mesenchymal Stem Cells]] Improve Cardiac Regeneration and Promote [[Angiogenesis]] via Activating [[Platelet-Derived Growth Factor]] D.
32447215,Prostaglandin E receptor EP4 stimulates [[lymphangiogenesis]] to promote mucosal healing during DSS-induced colitis.
27513293,MicroRNA Let-7b inhibits [[keratinocyte migration]] in cutaneous [[wound healing]] by targeting IGF2BP2.
29369907,Angiogenin Attenuates Scar Formation in Burn Patients by Reducing [[Fibroblast Proliferation]] and [[Transforming Growth Factor beta1 Secretion]].
26507878,Effects of Panax ginseng extract on human dermal [[fibroblast proliferation]] and [[collagen synthesis]].
25232946,"Endostar, a modified recombinant human endostatin, suppresses [[angiogenesis]] through inhibition of [[Wnt/beta-catenin signaling pathway]]."
26148015,Nucleolin enhances the [[proliferation]] and [[migration]] of heat-denatured human dermal fibroblasts.
27769028,Insulin-like growth factor 1 (IGF1) affects [[proliferation]] and [[differentiation]] and [[wound healing]] processes in an inflammatory environment with p38 controlling early [[osteoblast differentiation]] in periodontal ligament cells.
27112176,Targeting the [[cAMP]] and [[Transforming Growth Factor-beta Pathway]] Increases [[Proliferation]] to Promote [[Re-Epithelialization]] of Human Stem Cell-Derived Retinal Pigment Epithelium.
29863234,Tacrolimus inhibits [[proliferation]] and induces [[apoptosis]] by decreasing survivin in scar fibroblasts after glaucoma surgery.
36737556,Hyaluronan and Proteoglycan Link Protein 1 Activates the [[BMP4/Smad1/5/8 Signaling Pathway]] to Promote [[Osteogenic Differentiation]]: an Implication in [[Fracture Healing]].
37394884,Angiopoietin-like 4 promotes [[epidermal stem cell proliferation]] and [[migration]] and contributes to [[cutaneous wound re-epithelialization]].
33198112,beta2-Adrenergic Receptors Increase [[Cardiac Fibroblast Proliferation]] Through the Galphas/ERK1/2-Dependent Secretion of Interleukin-6.
31848327,CircRNA AFF4 promotes [[osteoblast cells proliferation]] and inhibits [[apoptosis]] via the Mir-7223-5p/PIK3R1 axis.
25421393,Periostin induces [[fibroblast proliferation]] and [[myofibroblast]] persistence in hypertrophic scarring.
25472964,TRPM7 regulates [[vascular endothelial cell adhesion]] and [[tube formation]].
30841634,Licochalcone A Inhibits [[Cellular Motility]] by Suppressing E-cadherin and [[MAPK Signaling]] in Breast Cancer.
28874692,Silver nanoparticle loaded collagen/chitosan scaffolds promote [[wound healing]] via regulating [[fibroblast migration]] and [[macrophage activation]].
30838170,Downregulation of PTPRK Promotes [[Cell Proliferation]] and [[Metastasis]] of NSCLC by Enhancing [[STAT3 Activation]].
29304536,Defibrotide Stimulates [[Angiogenesis]] and Protects Endothelial Cells from Calcineurin Inhibitor-Induced [[Apoptosis]] via Upregulation of AKT/Bcl-xL.
32167156,Low-concentration DMSO accelerates skin [[wound healing]] by Akt/mTOR-mediated [[cell proliferation]] and [[migration]] in diabetic mice.
27060743,Granzyme B inhibits [[keratinocyte migration]] by disrupting [[epidermal growth factor receptor (EGFR)-mediated signaling]].
25793633,Quercetin inhibits the [[migration]] and [[proliferation]] of astrocytes in [[wound healing]].
25647626,Angiomotin promotes breast cancer [[cell proliferation]] and [[invasion]].
27279016,Overexpression of HSPA1A enhances the [[osteogenic differentiation of bone marrow mesenchymal stem cells]] via activation of the [[Wnt/beta-catenin signaling pathway]].
26999642,The use of SHP-2 gene transduced bone marrow [[mesenchymal stem cell]]s to promote [[osteogenic differentiation]] and [[bone defect repair]] in rat.
32068954,[[Platelet-derived transforming growth factor-beta1]] promotes [[keratinocyte proliferation]] in cutaneous wound healing.
32210712,Gentisic Acid Stimulates [[Keratinocyte Proliferation]] through ERK1/2 Phosphorylation.
31653825,TET2-interacting long noncoding RNA promotes active [[DNA demethylation]] of the MMP-9 promoter in diabetic [[wound healing]].
37863979,Sympathetic activity regulates [[epithelial proliferation]] and [[wound healing]] via adrenergic receptor alpha2A.
26777999,Tranilast stimulates [[endochondral ossification]] by upregulating SOX9 and RUNX2 promoters.
32540310,Er:YAG laser promotes [[proliferation]] and [[wound healing]] capacity of human periodontal ligament fibroblasts through Galectin-7 induction.
27711210,"Signaling of Prostaglandin E Receptors, EP3 and EP4 Facilitates [[Wound Healing]] and [[Lymphangiogenesis]] with Enhanced Recruitment of M2 Macrophages in Mice."
35908001,Knockout of integrin beta1 in induced pluripotent stem cells accelerates skin-wound healing by promoting [[cell migration]] in extracellular matrix.
32393338,MSC-derived exosomes attenuate [[cell death]] through suppressing AIF nucleus translocation and enhance [[cutaneous wound healing]].
28916796,Low temperature plasma promoting [[fibroblast proliferation]] by activating the [[NF-kappaB pathway]] and increasing cyclinD1 expression.
31870566,"Oral delivery of novel human IGF-1 bioencapsulated in lettuce cells promotes [[musculoskeletal cell proliferation]], [[differentiation]] and [[diabetic fracture healing]]."
28146239,Combined PI3K/Akt and Smad2 Activation Promotes [[Corneal Endothelial Cell Proliferation]].
24365600,"Knockdown of SVCT2 impairs in-vitro [[cell attachment]], [[migration]] and [[wound healing]] in [[bone marrow]] stromal cells."
27217486,Overexpressing IRS1 in Endothelial Cells Enhances [[Angioblast Differentiation]] and [[Wound Healing]] in Diabetes and Insulin Resistance.
33420132,PDGFRalpha mediated survival of myofibroblasts inhibit [[satellite cell proliferation]] during aberrant regeneration of lacerated skeletal muscle.
28798331,MicroRNA-132 promotes [[fibroblast migration]] via regulating RAS p21 protein activator 1 in [[skin wound healing]].
